Video,Model,mAP_50,mAP_75,mAP_95,mAP_50-95,Precision,Recall,F1_Score,TP,FP,FN,Inference_Speed_ms,FPS
Vid_9,last.pt,0.5680330674846452,0.36392785111083115,0.0002824186262265577,0.3377511025353396,0.6682750301568154,0.7353982300884956,0.7002317253001896,1662,825,598,31.541086476424645,31.704678301029645
Vid_9,best.pt,0.5680330674846452,0.36392785111083115,0.0002824186262265577,0.3377511025353396,0.6682750301568154,0.7353982300884956,0.7002317253001896,1662,825,598,41.07436434975986,24.34608583311762
Vid_10,last.pt,0.5771998091220683,0.3826303187780757,0.0015019656263215338,0.3565120202054772,0.5907990314769975,0.8097345132743363,0.6831544563695754,732,507,172,35.96245124936104,27.806780829984927
Vid_10,best.pt,0.5771998091220683,0.3826303187780757,0.0015019656263215338,0.3565120202054772,0.5907990314769975,0.8097345132743363,0.6831544563695754,732,507,172,36.73223406076431,27.22404519000259
Vid_11,last.pt,0.6623389555210347,0.3842520664357492,0.00030409686432837223,0.3747750147168876,0.7345701689933872,0.7967722653915122,0.7644079136003058,3999,1445,1020,40.19655051984285,24.877756600192704
Vid_11,best.pt,0.6623389555210347,0.3842520664357492,0.00030409686432837223,0.3747750147168876,0.7345701689933872,0.7967722653915122,0.7644079136003058,3999,1445,1020,36.26644454504314,27.573698291763726
Vid_12,last.pt,0.5880186083532417,0.3512938903655851,0.0007223936916288515,0.34196532241149485,0.708803611738149,0.715261958997722,0.712018140589569,3454,1419,1375,37.560470544608535,26.623734620479638
Vid_12,best.pt,0.5880186083532417,0.3512938903655851,0.0007223936916288515,0.34196532241149485,0.708803611738149,0.715261958997722,0.712018140589569,3454,1419,1375,40.830385912755496,24.491563761771793
Vid_13,last.pt,0.5289157984478872,0.29659208327663167,0.001397091034859852,0.29826682870865046,0.7731689973927471,0.6098336137595812,0.6818561872909699,3262,957,2087,36.890340986705965,27.107366677916215
Vid_13,best.pt,0.5289157984478872,0.29659208327663167,0.001397091034859852,0.29826682870865046,0.7731689973927471,0.6098336137595812,0.6818561872909699,3262,957,2087,35.314105805896574,28.317296365834213
