epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7604.44,1.30324,0.7654,0.97407,0.69206,0.85059,0.79709,0.48802,1.31171,0.81122,1.01167,0.0011882,0.0011882,0.0011882
43,7749.18,1.28695,0.75581,0.9751,0.70322,0.84217,0.79908,0.49574,1.29884,0.78873,1.00855,0.0011684,0.0011684,0.0011684
44,7874.68,1.28533,0.75582,0.97284,0.6911,0.82935,0.78729,0.48265,1.31504,0.80758,1.01305,0.0011486,0.0011486,0.0011486
45,7986.64,1.29119,0.7552,0.97181,0.70507,0.83242,0.79788,0.49197,1.30231,0.80075,1.00828,0.0011288,0.0011288,0.0011288
46,8165.71,1.26136,0.74693,0.96536,0.70853,0.83326,0.80119,0.49584,1.29487,0.78786,1.00703,0.001109,0.001109,0.001109
47,8252.38,1.26498,0.74241,0.96753,0.70045,0.83958,0.79717,0.49307,1.29938,0.79611,1.00532,0.0010892,0.0010892,0.0010892
48,8381.71,1.27097,0.74643,0.96966,0.70031,0.84389,0.79792,0.4933,1.30285,0.79135,1.01197,0.0010694,0.0010694,0.0010694
49,8486.83,1.25976,0.74491,0.97259,0.69742,0.83983,0.79886,0.49383,1.30353,0.79799,1.00761,0.0010496,0.0010496,0.0010496
50,8610.72,1.26913,0.74092,0.96619,0.7043,0.84152,0.79846,0.49428,1.30756,0.79326,1.01025,0.0010298,0.0010298,0.0010298
51,8750.47,1.26003,0.73118,0.96208,0.70261,0.83871,0.79675,0.49265,1.30959,0.79103,1.01083,0.00101,0.00101,0.00101
52,8887.19,1.24938,0.73332,0.96385,0.69988,0.84091,0.79735,0.4927,1.30834,0.78944,1.01077,0.0009902,0.0009902,0.0009902
53,9037.05,1.25408,0.73551,0.96576,0.69671,0.84458,0.79508,0.49257,1.29629,0.79012,1.00804,0.0009704,0.0009704,0.0009704
54,9197.89,1.24111,0.72428,0.96039,0.70755,0.83825,0.79537,0.48893,1.3197,0.79756,1.01334,0.0009506,0.0009506,0.0009506
55,9331.22,1.25367,0.73002,0.95635,0.70105,0.83424,0.79109,0.48441,1.32399,0.79674,1.01423,0.0009308,0.0009308,0.0009308
56,9483.8,1.23713,0.72383,0.95575,0.70307,0.83354,0.79438,0.49053,1.30962,0.80552,1.01428,0.000911,0.000911,0.000911
57,9614.94,1.24003,0.7189,0.95771,0.70188,0.84992,0.79248,0.49442,1.29912,0.79249,1.01167,0.0008912,0.0008912,0.0008912
58,9783.14,1.23162,0.71582,0.95609,0.70773,0.84169,0.80109,0.49975,1.30129,0.79236,1.01077,0.0008714,0.0008714,0.0008714
59,9891.09,1.22762,0.71778,0.95506,0.6985,0.85017,0.79547,0.49155,1.31332,0.79325,1.016,0.0008516,0.0008516,0.0008516
60,10008.2,1.22376,0.71164,0.95636,0.69861,0.83746,0.79039,0.48805,1.31786,0.80421,1.01593,0.0008318,0.0008318,0.0008318
61,10131.4,1.21565,0.71128,0.95104,0.70164,0.8378,0.78988,0.48645,1.33152,0.79882,1.01664,0.000812,0.000812,0.000812
62,10339.6,1.21218,0.7092,0.95323,0.69782,0.84221,0.7921,0.49194,1.30586,0.79629,1.01123,0.0007922,0.0007922,0.0007922
63,10449.1,1.21503,0.70713,0.95023,0.70704,0.83676,0.80042,0.4964,1.31663,0.7962,1.01379,0.0007724,0.0007724,0.0007724
64,10612.7,1.18825,0.69912,0.94809,0.69468,0.8464,0.79565,0.49232,1.30869,0.79289,1.01736,0.0007526,0.0007526,0.0007526
65,10757.4,1.20153,0.70243,0.94625,0.69178,0.84305,0.78231,0.48147,1.31361,0.80255,1.01367,0.0007328,0.0007328,0.0007328
66,10937,1.19717,0.69968,0.94524,0.69681,0.85186,0.79182,0.49538,1.29797,0.79541,1.00962,0.000713,0.000713,0.000713
67,11093.3,1.19207,0.69455,0.94456,0.70011,0.84305,0.79635,0.49618,1.30609,0.79288,1.01261,0.0006932,0.0006932,0.0006932
68,11237.6,1.19648,0.69235,0.94832,0.69556,0.84716,0.79277,0.49169,1.3113,0.7932,1.01457,0.0006734,0.0006734,0.0006734
69,11362.9,1.19177,0.68808,0.94345,0.69893,0.83941,0.79643,0.49238,1.31282,0.79983,1.01366,0.0006536,0.0006536,0.0006536
70,11520.1,1.17064,0.67891,0.93647,0.70054,0.83273,0.7971,0.49495,1.31413,0.80056,1.01519,0.0006338,0.0006338,0.0006338
71,11725.2,1.17017,0.6781,0.93598,0.71014,0.83871,0.79429,0.49419,1.31156,0.79703,1.01673,0.000614,0.000614,0.000614
72,11832.5,1.16963,0.67882,0.93628,0.70204,0.845,0.79378,0.49585,1.30853,0.80205,1.01494,0.0005942,0.0005942,0.0005942
73,11992.3,1.16475,0.67437,0.93985,0.69808,0.84906,0.79513,0.49742,1.29824,0.79628,1.01113,0.0005744,0.0005744,0.0005744
74,12148.8,1.16352,0.67966,0.93665,0.70451,0.83804,0.7926,0.49386,1.30656,0.80132,1.01391,0.0005546,0.0005546,0.0005546
75,12294.5,1.16022,0.67137,0.9307,0.69082,0.85283,0.79681,0.4939,1.31867,0.80001,1.01898,0.0005348,0.0005348,0.0005348
76,12433.4,1.15118,0.66374,0.92814,0.69898,0.8341,0.79322,0.49566,1.30649,0.80598,1.01428,0.000515,0.000515,0.000515
77,12589.3,1.14191,0.66733,0.92795,0.70544,0.83997,0.79551,0.49724,1.31226,0.79991,1.02038,0.0004952,0.0004952,0.0004952
78,12753.3,1.145,0.66451,0.93154,0.70209,0.84193,0.79454,0.49559,1.31071,0.80337,1.02087,0.0004754,0.0004754,0.0004754
79,12864.5,1.11982,0.6532,0.92599,0.69691,0.8478,0.79233,0.49553,1.30647,0.81098,1.01738,0.0004556,0.0004556,0.0004556
80,12996.5,1.13721,0.65606,0.92391,0.70749,0.82628,0.7951,0.49422,1.3125,0.81177,1.01939,0.0004358,0.0004358,0.0004358
81,13138,1.12275,0.65039,0.92348,0.69661,0.84179,0.78559,0.48863,1.31739,0.8147,1.02173,0.000416,0.000416,0.000416
82,13324.4,1.12648,0.64749,0.92148,0.69868,0.84095,0.78876,0.49274,1.30938,0.80911,1.01894,0.0003962,0.0003962,0.0003962
83,13470.9,1.10698,0.63956,0.91941,0.70349,0.8355,0.78817,0.48826,1.32081,0.81873,1.0225,0.0003764,0.0003764,0.0003764
84,13667.8,1.10896,0.63947,0.92135,0.70588,0.8359,0.78657,0.48781,1.32148,0.81446,1.02286,0.0003566,0.0003566,0.0003566
85,13811,1.09937,0.63404,0.91737,0.70066,0.84053,0.78688,0.49134,1.30938,0.81598,1.01976,0.0003368,0.0003368,0.0003368
86,13963.2,1.0871,0.62591,0.91559,0.70009,0.83732,0.78849,0.49207,1.3098,0.82637,1.01991,0.000317,0.000317,0.000317
87,14137.7,1.09037,0.62576,0.91461,0.6997,0.83913,0.78648,0.48961,1.31519,0.81369,1.02308,0.0002972,0.0002972,0.0002972
88,14270,1.08665,0.62193,0.91319,0.69494,0.83927,0.78822,0.49018,1.31324,0.82655,1.02142,0.0002774,0.0002774,0.0002774
89,14428.4,1.09135,0.62382,0.9124,0.70919,0.82483,0.79045,0.49144,1.31852,0.83391,1.02207,0.0002576,0.0002576,0.0002576
90,14597.9,1.0787,0.61658,0.90991,0.70391,0.8334,0.78792,0.49048,1.32095,0.82938,1.02679,0.0002378,0.0002378,0.0002378
91,14796.6,1.07575,0.62072,0.92166,0.7025,0.83033,0.78231,0.47955,1.33135,0.82805,1.03107,0.000218,0.000218,0.000218
92,14976,1.04937,0.60136,0.92083,0.70268,0.82876,0.78674,0.48993,1.3213,0.82154,1.025,0.0001982,0.0001982,0.0001982
93,15112,1.04132,0.59268,0.91702,0.70117,0.82963,0.78911,0.48935,1.3239,0.83007,1.02621,0.0001784,0.0001784,0.0001784
