epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,7376.23,1.29119,0.7552,0.97181,0.70507,0.83242,0.79788,0.49197,1.30231,0.80075,1.00828,0.0011288,0.0011288,0.0011288
46,7548.71,1.26136,0.74693,0.96536,0.70853,0.83326,0.80119,0.49584,1.29487,0.78786,1.00703,0.001109,0.001109,0.001109
47,7665.54,1.26498,0.74241,0.96753,0.70045,0.83958,0.79717,0.49307,1.29938,0.79611,1.00532,0.0010892,0.0010892,0.0010892
48,7787.9,1.27097,0.74643,0.96966,0.70031,0.84389,0.79792,0.4933,1.30285,0.79135,1.01197,0.0010694,0.0010694,0.0010694
49,7896.72,1.25976,0.74491,0.97259,0.69742,0.83983,0.79886,0.49383,1.30353,0.79799,1.00761,0.0010496,0.0010496,0.0010496
50,7980.17,1.26913,0.74092,0.96619,0.7043,0.84152,0.79846,0.49428,1.30756,0.79326,1.01025,0.0010298,0.0010298,0.0010298
51,8143.12,1.26003,0.73118,0.96208,0.70261,0.83871,0.79675,0.49265,1.30959,0.79103,1.01083,0.00101,0.00101,0.00101
52,8265.1,1.24938,0.73332,0.96385,0.69988,0.84091,0.79735,0.4927,1.30834,0.78944,1.01077,0.0009902,0.0009902,0.0009902
53,8411.25,1.25408,0.73551,0.96576,0.69671,0.84458,0.79508,0.49257,1.29629,0.79012,1.00804,0.0009704,0.0009704,0.0009704
54,8598.15,1.24111,0.72428,0.96039,0.70755,0.83825,0.79537,0.48893,1.3197,0.79756,1.01334,0.0009506,0.0009506,0.0009506
55,8801.16,1.25367,0.73002,0.95635,0.70105,0.83424,0.79109,0.48441,1.32399,0.79674,1.01423,0.0009308,0.0009308,0.0009308
56,8951.81,1.23713,0.72383,0.95575,0.70307,0.83354,0.79438,0.49053,1.30962,0.80552,1.01428,0.000911,0.000911,0.000911
57,9083.85,1.24003,0.7189,0.95771,0.70188,0.84992,0.79248,0.49442,1.29912,0.79249,1.01167,0.0008912,0.0008912,0.0008912
58,9261.87,1.23162,0.71582,0.95609,0.70773,0.84169,0.80109,0.49975,1.30129,0.79236,1.01077,0.0008714,0.0008714,0.0008714
