epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.469,1.5223,0.96385,1.07678,0.66766,0.81397,0.74996,0.38812,1.59287,1.12401,1.1164,0.000654545,0.000654545,0.000654545
2,289.43,1.50878,0.89269,1.04674,0.65633,0.82664,0.74447,0.41769,1.42444,1.01377,1.0621,0.00130377,0.00130377,0.00130377
3,444.15,1.49222,0.90085,1.04334,0.66048,0.81782,0.74585,0.40167,1.47106,1.14578,1.08285,0.0019354,0.0019354,0.0019354
4,640.905,1.51552,0.91518,1.04937,0.6391,0.84249,0.74079,0.41401,1.39429,1.13309,1.03652,0.0019208,0.0019208,0.0019208
5,795.38,1.48947,0.89075,1.04082,0.6822,0.82418,0.77746,0.4493,1.39536,0.90284,1.03476,0.0018944,0.0018944,0.0018944
6,894.992,1.47742,0.87603,1.03139,0.68264,0.82809,0.7754,0.45702,1.34322,0.85488,1.02159,0.001868,0.001868,0.001868
